Indicator,State,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Anxiety Disorder,Alaska,32.6,28.6,36.8,28.6 - 36.8,31.8-33.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,37.4,33.5,41.3,33.5 - 41.3,36.7-38.8
Symptoms of Depressive Disorder,Alaska,25.7,22.4,29.2,22.4 - 29.2,25.3-27.3
Symptoms of Anxiety Disorder,Alaska,33,29.1,37,29.1 - 37.0,32.6-34.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,38.5,34.4,42.8,34.4 - 42.8,37.2-39.6
Symptoms of Depressive Disorder,Alaska,27.1,22.5,32.1,22.5 - 32.1,24.5-27.6
Symptoms of Anxiety Disorder,Alaska,32.7,28.7,36.9,28.7 - 36.9,22.3-34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,38.2,33.8,42.8,33.8 - 42.8,25.5-38.8
Symptoms of Depressive Disorder,Alaska,30,26.9,33.4,26.9 - 33.4,27.6-30.1
Symptoms of Anxiety Disorder,Alaska,40.3,36.3,44.4,36.3 - 44.4,38.5-43.2
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,44.6,40.6,48.6,40.6 - 48.6,44.4-49.7
Symptoms of Depressive Disorder,Alaska,26.7,23.2,30.4,23.2 - 30.4,26.6-28.4
Symptoms of Anxiety Disorder,Alaska,36.8,32.4,41.4,32.4 - 41.4,36.1-37.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,42.6,38.3,47,38.3 - 47.0,41.4-43.7
Symptoms of Depressive Disorder,Alaska,32,28,36.2,28.0 - 36.2,29.7-32.3
Symptoms of Anxiety Disorder,Alaska,37.7,33.8,41.7,33.8 - 41.7,36.0-38.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,44.1,39.8,48.5,39.8 - 48.5,41.2-44.1
Symptoms of Depressive Disorder,Alaska,28.4,24.9,32.1,24.9 - 32.1,28.1-30.1
Symptoms of Anxiety Disorder,Alaska,36.2,32.7,39.8,32.7 - 39.8,34.9-37.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,41.5,37.9,45.2,37.9 - 45.2,40.5-42.8
Symptoms of Depressive Disorder,Alaska,30.8,27.5,34.3,27.5 - 34.3,30.4-34.0
Symptoms of Anxiety Disorder,Alaska,37.1,33.3,41.1,33.3 - 41.1,35.2-37.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,43.1,39.3,46.9,39.3 - 46.9,40.9-43.2
Symptoms of Depressive Disorder,Alaska,31.5,26.4,36.8,26.4 - 36.8,29.9-33.4
Symptoms of Anxiety Disorder,Alaska,33,28.8,37.4,28.8 - 37.4,30.8-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,41.3,36.5,46.1,36.5 - 46.1,40.7-45.1
Symptoms of Depressive Disorder,Alaska,22,18.4,25.9,18.4 - 25.9,18.3-24.1
Symptoms of Anxiety Disorder,Alaska,31.9,27.9,36.2,27.9 - 36.2,30.3-32.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,35.6,31.7,39.7,31.7 - 39.7,25.5-35.9
Symptoms of Depressive Disorder,Alaska,24.5,21.7,27.5,21.7 - 27.5,23.0-24.9
Symptoms of Anxiety Disorder,Alaska,32.2,28.3,36.3,28.3 - 36.3,31.5-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,35.6,31.6,39.7,31.6 - 39.7,33.4-36.0
Symptoms of Depressive Disorder,Alaska,26.8,22,32,22.0 - 32.0,25.6-33.2
Symptoms of Anxiety Disorder,Alaska,30.4,25.5,35.7,25.5 - 35.7,29.2-31.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,37.8,32.9,43,32.9 - 43.0,36.3-42.6
Symptoms of Depressive Disorder,Alaska,23.4,20,27.1,20.0 - 27.1,22.4-23.7
Symptoms of Anxiety Disorder,Alaska,26.8,22.6,31.4,22.6 - 31.4,26.8-28.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,31.8,27.7,36,27.7 - 36.0,31.5-33.5
Symptoms of Depressive Disorder,Alaska,24.4,21.1,28,21.1 - 28.0,23.2-27.3
Symptoms of Anxiety Disorder,Alaska,29.7,25.4,34.2,25.4 - 34.2,27.9-30.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,33.8,29.7,38.1,29.7 - 38.1,31.9-35.5
Symptoms of Depressive Disorder,Alaska,20.5,17.4,23.9,17.4 - 23.9,19.0-20.6
Symptoms of Anxiety Disorder,Alaska,23.5,19.9,27.5,19.9 - 27.5,23.5-24.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,29.3,25.6,33.2,25.6 - 33.2,29.0-32.3
Symptoms of Depressive Disorder,Alaska,17.1,13.6,21,13.6 - 21.0,13.4-18.3
Symptoms of Anxiety Disorder,Alaska,23.6,19.5,28.1,19.5 - 28.1,22.6-25.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,26.9,22.5,31.6,22.5 - 31.6,26.9-29.2
Symptoms of Depressive Disorder,Alaska,20.3,16.4,24.6,16.4 - 24.6,19.4-20.7
Symptoms of Anxiety Disorder,Alaska,27.1,22.9,31.7,22.9 - 31.7,25.2-28.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,31.8,26.6,37.3,26.6 - 37.3,29.9-31.9
Symptoms of Depressive Disorder,Alaska,17.9,14,22.5,14.0 - 22.5,17.5-20.3
Symptoms of Anxiety Disorder,Alaska,24.4,19.9,29.4,19.9 - 29.4,24.2-26.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,27.4,22.9,32.4,22.9 - 32.4,26.3-28.1
Symptoms of Depressive Disorder,Alaska,25.2,21.7,28.9,21.7 - 28.9,24.3-31.3
Symptoms of Anxiety Disorder,Alaska,30.5,26.2,35,26.2 - 35.0,29.7-36.0
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,34.2,30,38.5,30.0 - 38.5,31.0-34.2
Symptoms of Depressive Disorder,Alaska,20.2,16.4,24.4,16.4 - 24.4,18.9-21.1
Symptoms of Anxiety Disorder,Alaska,23.8,20.4,27.5,20.4 - 27.5,19.2-23.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,28.1,24,32.5,24.0 - 32.5,28.1-30.3
Symptoms of Depressive Disorder,Alaska,25,21.2,29.2,21.2 - 29.2,22.6-25.0
Symptoms of Anxiety Disorder,Alaska,27.9,23.8,32.2,23.8 - 32.2,27.6-30.0
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,33.5,29.3,38,29.3 - 38.0,31.6-34.0
Symptoms of Depressive Disorder,Alaska,23.9,19.8,28.4,19.8 - 28.4,21.3-24.2
Symptoms of Anxiety Disorder,Alaska,30,26.5,33.8,26.5 - 33.8,29.6-40.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,34.3,30.3,38.4,30.3 - 38.4,33.8-44.4
Symptoms of Depressive Disorder,Alaska,28.3,23.8,33.2,23.8 - 33.2,25.6-30.6
Symptoms of Anxiety Disorder,Alaska,26.7,22.3,31.5,22.3 - 31.5,24.9-26.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,36.5,31.6,41.6,31.6 - 41.6,35.7-41.7
Symptoms of Depressive Disorder,Alaska,28,24.3,32,24.3 - 32.0,24.1-28.6
Symptoms of Anxiety Disorder,Alaska,32.9,28,38.1,28.0 - 38.1,29.2-34.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,38.5,34,43.2,34.0 - 43.2,34.2-38.5
Symptoms of Depressive Disorder,Alaska,22.5,16.6,29.3,16.6 - 29.3,21.6-23.1
Symptoms of Anxiety Disorder,Alaska,34.1,27.3,41.4,27.3 - 41.4,29.1-36.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,37.8,31.3,44.7,31.3 - 44.7,33.3-39.9
Symptoms of Depressive Disorder,Alaska,21.6,17.3,26.3,17.3 - 26.3,21.1-22.3
Symptoms of Anxiety Disorder,Alaska,28.6,23.1,34.6,23.1 - 34.6,28.1-30.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,31.9,26.9,37.4,26.9 - 37.4,29.8-32.2
Symptoms of Depressive Disorder,Alaska,24.6,20.4,29.1,20.4 - 29.1,23.9-29.6
Symptoms of Anxiety Disorder,Alaska,27.4,23.6,31.5,23.6 - 31.5,27.0-29.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,33.4,28.7,38.2,28.7 - 38.2,31.8-33.4
Symptoms of Depressive Disorder,Alaska,22.4,18.9,26.2,18.9 - 26.2,21.1-22.8
Symptoms of Anxiety Disorder,Alaska,28.3,24.3,32.7,24.3 - 32.7,26.7-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,32.7,28.7,36.8,28.7 - 36.8,30.0-33.7
Symptoms of Depressive Disorder,Alaska,20.2,16.6,24.1,16.6 - 24.1,20.0-21.1
Symptoms of Anxiety Disorder,Alaska,24.5,20.8,28.6,20.8 - 28.6,19.2-24.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,27,23.1,31.2,23.1 - 31.2,25.0-28.5
Symptoms of Depressive Disorder,Alaska,23.8,20.1,27.8,20.1 - 27.8,23.2-30.3
Symptoms of Anxiety Disorder,Alaska,26.1,22.3,30.3,22.3 - 30.3,24.8-26.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,30.9,26.3,35.9,26.3 - 35.9,30.1-31.9
Symptoms of Depressive Disorder,Alaska,21.6,16.9,26.9,16.9 - 26.9,19.6-21.6
Symptoms of Anxiety Disorder,Alaska,29.8,24.3,35.8,24.3 - 35.8,28.4-30.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,32.8,27.2,38.9,27.2 - 38.9,31.5-34.8
Symptoms of Depressive Disorder,Alaska,20.5,15.4,26.5,15.4 - 26.5,20.5-23.3
Symptoms of Anxiety Disorder,Alaska,26.5,21,32.5,21.0 - 32.5,26.5-28.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,31.6,25.6,38,25.6 - 38.0,30.4-33.1
Symptoms of Depressive Disorder,Alaska,22.5,16.5,29.4,16.5 - 29.4,21.4-23.5
Symptoms of Anxiety Disorder,Alaska,31.2,25.1,37.8,25.1 - 37.8,30.0-38.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,35.8,29.9,42.1,29.9 - 42.1,33.9-42.6
Symptoms of Depressive Disorder,Alaska,24.4,19.7,29.6,19.7 - 29.6,22.4-24.4
Symptoms of Anxiety Disorder,Alaska,34.4,29.3,39.7,29.3 - 39.7,34.0-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,41,35.7,46.4,35.7 - 46.4,38.0-46.8
Symptoms of Depressive Disorder,Alaska,25.8,19.8,32.5,19.8 - 32.5,23.8-26.9
Symptoms of Anxiety Disorder,Alaska,31,25.2,37.2,25.2 - 37.2,28.4-31.2
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,35.9,29.7,42.5,29.7 - 42.5,35.8-38.5
Symptoms of Depressive Disorder,Alaska,28.4,23.4,34,23.4 - 34.0,26.4-30.2
Symptoms of Anxiety Disorder,Alaska,30.6,24.8,36.9,24.8 - 36.9,28.6-30.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,37.8,31.8,44,31.8 - 44.0,37.3-40.3
Symptoms of Depressive Disorder,Alaska,27.1,22.6,32,22.6 - 32.0,26.2-32.0
Symptoms of Anxiety Disorder,Alaska,31.6,27.2,36.2,27.2 - 36.2,31.5-37.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,35.4,31,39.9,31.0 - 39.9,33.4-36.0
Symptoms of Depressive Disorder,Alaska,22.3,16.8,28.7,16.8 - 28.7,21.8-22.9
Symptoms of Anxiety Disorder,Alaska,27.2,21.1,34.1,21.1 - 34.1,25.5-27.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,31.6,25.4,38.4,25.4 - 38.4,29.5-32.0
Symptoms of Depressive Disorder,Alaska,22.9,18.9,27.2,18.9 - 27.2,21.4-23.4
Symptoms of Anxiety Disorder,Alaska,28.4,24.2,32.9,24.2 - 32.9,28.3-30.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,32.2,28.1,36.5,28.1 - 36.5,32.1-34.3
Symptoms of Depressive Disorder,Alaska,24.4,19.5,29.8,19.5 - 29.8,23.6-29.7
Symptoms of Anxiety Disorder,Alaska,26.1,21.3,31.4,21.3 - 31.4,25.6-27.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,33.3,28,39.1,28.0 - 39.1,32.3-34.5
Symptoms of Depressive Disorder,Alaska,25.5,21.3,30,21.3 - 30.0,23.5-28.2
Symptoms of Anxiety Disorder,Alaska,28.4,23.7,33.5,23.7 - 33.5,28.0-30.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,34.3,29.4,39.5,29.4 - 39.5,32.7-34.7
Symptoms of Depressive Disorder,Alaska,19.2,14.4,24.7,14.4 - 24.7,11.9-19.2
Symptoms of Anxiety Disorder,Alaska,26.2,21.4,31.3,21.4 - 31.3,25.0-27.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,29.1,24,34.7,24.0 - 34.7,23.6-29.7
Symptoms of Depressive Disorder,Alaska,22.5,18,27.5,18.0 - 27.5,21.3-22.7
Symptoms of Anxiety Disorder,Alaska,27,21.6,33.1,21.6 - 33.1,26.4-27.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,31.6,26,37.6,26.0 - 37.6,30.2-31.9
Symptoms of Depressive Disorder,Alaska,18.6,14.7,23.1,14.7 - 23.1,14.9-19.5
Symptoms of Anxiety Disorder,Alaska,20.3,16.2,25,16.2 - 25.0,15.9-25.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,26,21.1,31.3,21.1 - 31.3,21.7-29.8
Symptoms of Depressive Disorder,Alaska,24.6,20.1,29.6,20.1 - 29.6,21.3-24.6
Symptoms of Anxiety Disorder,Alaska,30.4,26,35.1,26.0 - 35.1,28.2-30.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,34.8,30.5,39.3,30.5 - 39.3,32.1-35.1
Symptoms of Depressive Disorder,Alaska,18.3,14.7,22.5,14.7 - 22.5,17.7-19.5
Symptoms of Anxiety Disorder,Alaska,24,19.2,29.3,19.2 - 29.3,22.6-24.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,28.1,23,33.6,23.0 - 33.6,26.9-28.6
Symptoms of Depressive Disorder,Alaska,27.1,21.9,32.7,21.9 - 32.7,24.5-33.1
Symptoms of Anxiety Disorder,Alaska,27.2,22.8,32,22.8 - 32.0,26.5-28.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,36,30.9,41.4,30.9 - 41.4,33.6-36.2
Symptoms of Depressive Disorder,Alaska,24.7,21,28.8,21.0 - 28.8,24.6-27.8
Symptoms of Anxiety Disorder,Alaska,28.7,24.8,33,24.8 - 33.0,28.4-29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,36.4,32.8,40.2,32.8 - 40.2,36.4-41.0
Symptoms of Depressive Disorder,Alaska,15.1,12.2,18.5,12.2 - 18.5,13.9-15.6
Symptoms of Anxiety Disorder,Alaska,21.2,16.9,26.2,16.9 - 26.2,19.2-21.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,25.9,21.3,31,21.3 - 31.0,23.4-25.9
Symptoms of Depressive Disorder,Alaska,15.9,11.6,21,11.6 - 21.0,15.2-20.0
Symptoms of Anxiety Disorder,Alaska,21.1,16.4,26.5,16.4 - 26.5,19.6-23.2
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,24.3,19.4,29.8,19.4 - 29.8,23.4-28.0
Symptoms of Depressive Disorder,Alaska,17.4,13.2,22.3,13.2 - 22.3,15.0-17.8
Symptoms of Anxiety Disorder,Alaska,16.5,12.3,21.4,12.3 - 21.4,16.2-17.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,23.2,18.6,28.2,18.6 - 28.2,22.9-25.4
Symptoms of Depressive Disorder,Alaska,20.4,16,25.4,16.0 - 25.4,15.0-20.4
Symptoms of Anxiety Disorder,Alaska,20.7,16.5,25.4,16.5 - 25.4,19.4-22.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,26.2,21.4,31.4,21.4 - 31.4,23.1-26.8
Symptoms of Depressive Disorder,Alaska,14.5,10.5,19.4,10.5 - 19.4,14.4-15.0
Symptoms of Anxiety Disorder,Alaska,21.5,16.6,27.1,16.6 - 27.1,19.3-22.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,26.5,21.5,32,21.5 - 32.0,23.2-27.3
Symptoms of Depressive Disorder,Alaska,15.8,11.8,20.5,11.8 - 20.5,15.4-17.7
Symptoms of Anxiety Disorder,Alaska,17.7,13.8,22,13.8 - 22.0,17.3-19.0
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,22.7,18.1,27.8,18.1 - 27.8,22.4-24.6
Symptoms of Depressive Disorder,Alaska,17.2,13.4,21.7,13.4 - 21.7,15.6-20.8
Symptoms of Anxiety Disorder,Alaska,20,16.7,23.6,16.7 - 23.6,18.7-24.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,24.4,20.5,28.7,20.5 - 28.7,22.8-28.2
Symptoms of Depressive Disorder,Alaska,18.4,14.3,23.1,14.3 - 23.1,15.1-18.7
Symptoms of Anxiety Disorder,Alaska,21.8,17.3,26.9,17.3 - 26.9,19.2-21.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,26.1,21.5,31.1,21.5 - 31.1,22.8-26.8
Symptoms of Depressive Disorder,Alaska,17.6,12.7,23.5,12.7 - 23.5,15.5-18.2
Symptoms of Anxiety Disorder,Alaska,23.9,17.9,30.8,17.9 - 30.8,19.4-23.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,26.7,20.9,33.2,20.9 - 33.2,23.1-27.8
Symptoms of Depressive Disorder,Arizona,22.4,19.4,25.5,19.4 - 25.5,22.2 - 24.0
Symptoms of Anxiety Disorder,Arizona,32.3,28,36.8,28.0 - 36.8,31.7 - 37.0
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,36.4,32.3,40.7,32.3 - 40.7,34.8 - 36.7
Symptoms of Depressive Disorder,Arizona,25.3,19.7,31.7,19.7 - 31.7,23.1 - 25.6
Symptoms of Anxiety Disorder,Arizona,34.2,29.2,39.4,29.2 - 39.4,31.6 - 38.3
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,38.4,32.6,44.6,32.6 - 44.6,36.1 - 48.4
Symptoms of Depressive Disorder,Arizona,20,16.3,24.2,16.3 - 24.2,18.1-20.7
Symptoms of Anxiety Disorder,Arizona,29,25.1,33.2,25.1 - 33.2,28.9-36.1
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,32.1,28,36.3,28.0 - 36.3,29.8-32.5
Symptoms of Depressive Disorder,Arizona,25.1,21.2,29.3,21.2 - 29.3,23.0-25.8
Symptoms of Anxiety Disorder,Arizona,29.3,25.6,33.3,25.6 - 33.3,28.7-30.6
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,35.5,31.3,39.8,31.3 - 39.8,33.2-35.5
Symptoms of Depressive Disorder,Arizona,23.9,20.4,27.6,20.4 - 27.6,21.5-24.3
Symptoms of Anxiety Disorder,Arizona,27.9,24.9,31.1,24.9 - 31.1,26.8-29.6
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,32.6,29.1,36.2,29.1 - 36.2,31.7-34.2
Symptoms of Depressive Disorder,Arizona,26.5,23,30.2,23.0 - 30.2,25.1-27.2
Symptoms of Anxiety Disorder,Arizona,30.8,27,34.7,27.0 - 34.7,29.9-32.7
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,36.8,33.2,40.5,33.2 - 40.5,34.8-37.6
Symptoms of Depressive Disorder,Arizona,25,20.3,30.1,20.3 - 30.1,24.0-26.7
Symptoms of Anxiety Disorder,Arizona,25.6,21.5,29.9,21.5 - 29.9,22.7-27.3
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,33.3,27.9,39,27.9 - 39.0,32.3-34.9
Symptoms of Depressive Disorder,Arizona,28.9,26.3,31.5,26.3 - 31.5,28.8-35.6
Symptoms of Anxiety Disorder,Arizona,34.7,32,37.5,32.0 - 37.5,33.4-41.3
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,40.1,37.2,42.9,37.2 - 42.9,38.4-46.8
Symptoms of Depressive Disorder,Arizona,32.7,28.7,36.9,28.7 - 36.9,29.0-34.5
Symptoms of Anxiety Disorder,Arizona,39.7,35.7,43.9,35.7 - 43.9,34.8-40.5
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,44.1,40.4,47.9,40.4 - 47.9,39.5-45.1
Symptoms of Depressive Disorder,Arizona,31.3,27.2,35.7,27.2 - 35.7,29.4-34.6
Symptoms of Anxiety Disorder,Arizona,36.6,32.8,40.5,32.8 - 40.5,35.4-40.6
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,42.4,38,46.8,38.0 - 46.8,40.7-44.8
Symptoms of Depressive Disorder,Arizona,33.9,29.5,38.6,29.5 - 38.6,30.8-36.1
Symptoms of Anxiety Disorder,Arizona,39.9,35.3,44.6,35.3 - 44.6,37.9-42.8
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,44.2,39.6,48.8,39.6 - 48.8,42.1-46.5
Symptoms of Depressive Disorder,Arizona,34.3,29.9,38.9,29.9 - 38.9,32.3-38.6
Symptoms of Anxiety Disorder,Arizona,41.3,36.9,45.9,36.9 - 45.9,38.5-45.4
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,44.9,40.5,49.4,40.5 - 49.4,43.6-50.2
Symptoms of Depressive Disorder,Arizona,26.4,23.5,29.4,23.5 - 29.4,25.8-28.3
Symptoms of Anxiety Disorder,Arizona,30.4,27.6,33.4,27.6 - 33.4,28.5-30.6
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,35.1,31.9,38.3,31.9 - 38.3,33.3-35.6
Symptoms of Depressive Disorder,Arizona,26.5,23.4,29.7,23.4 - 29.7,23.3-26.5
Symptoms of Anxiety Disorder,Arizona,33.4,30.5,36.3,30.5 - 36.3,31.2-33.4
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,39,36,42.2,36.0 - 42.2,38.2-41.7
Symptoms of Depressive Disorder,Arizona,28.2,25.5,31,25.5 - 31.0,26.9-31.8
Symptoms of Anxiety Disorder,Arizona,34.9,31.9,38.1,31.9 - 38.1,34.0-41.1
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,39.3,36.3,42.3,36.3 - 42.3,38.5-47.6
Symptoms of Depressive Disorder,Arizona,25,22.1,28,22.1 - 28.0,24.5-26.0
Symptoms of Anxiety Disorder,Arizona,31.7,28.5,35.2,28.5 - 35.2,29.5-31.7
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,37.8,33.9,41.8,33.9 - 41.8,36.7-38.8
Symptoms of Depressive Disorder,Arizona,30.8,26.3,35.5,26.3 - 35.5,27.4-33.4
Symptoms of Anxiety Disorder,Arizona,35.1,31.1,39.3,31.1 - 39.3,34.9-39.5
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,39.8,35.3,44.5,35.3 - 44.5,39.7-46.3
Symptoms of Depressive Disorder,Arizona,27.2,22.5,32.3,22.5 - 32.3,24.5-27.6
Symptoms of Anxiety Disorder,Arizona,35.5,30.4,40.9,30.4 - 40.9,34.8-36.6
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,40.3,35.2,45.6,35.2 - 45.6,38.9-41.6
Symptoms of Depressive Disorder,Arizona,28.7,24.6,33,24.6 - 33.0,27.6-30.1
Symptoms of Anxiety Disorder,Arizona,39.2,35.4,43.1,35.4 - 43.1,38.5-43.2
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,43.8,39.8,47.8,39.8 - 47.8,41.6-44.3
Symptoms of Depressive Disorder,Arizona,28.5,24.4,32.8,24.4 - 32.8,28.5-31.2
Symptoms of Anxiety Disorder,Arizona,33.6,29.7,37.7,29.7 - 37.7,27.5-34.0
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,39.8,35.5,44.2,35.5 - 44.2,39.3-41.3
Symptoms of Depressive Disorder,Arizona,32.7,28.3,37.4,28.3 - 37.4,32.4-39.4
Symptoms of Anxiety Disorder,Arizona,34.7,30.1,39.5,30.1 - 39.5,34.3-35.9
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,43.5,38.8,48.3,38.8 - 48.3,41.2-44.1
Symptoms of Depressive Disorder,Arizona,26.9,23.5,30.4,23.5 - 30.4,26.1-28.0
Symptoms of Anxiety Disorder,Arizona,33.5,30.7,36.4,30.7 - 36.4,29.2-33.7
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,38.4,35,41.9,35.0 - 41.9,33.6-38.4
Symptoms of Depressive Disorder,Arizona,29.8,26.7,33.1,26.7 - 33.1,27.2-30.3
Symptoms of Anxiety Disorder,Arizona,36.9,33.5,40.3,33.5 - 40.3,35.2-37.1
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,40.8,37.4,44.3,37.4 - 44.3,37.7-40.8
Symptoms of Depressive Disorder,Arizona,30.4,26.2,34.8,26.2 - 34.8,29.9-33.4
Symptoms of Anxiety Disorder,Arizona,32.8,29.3,36.4,29.3 - 36.4,30.8-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,41.7,37.2,46.3,37.2 - 46.3,40.7-45.1
Symptoms of Depressive Disorder,Arizona,28.7,24.9,32.6,24.9 - 32.6,27.5-29.1
Symptoms of Anxiety Disorder,Arizona,31.6,28.3,35.2,28.3 - 35.2,30.3-32.8
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,38.9,35.2,42.7,35.2 - 42.7,38.3-40.1
Symptoms of Depressive Disorder,Arizona,29.3,25.5,33.3,25.5 - 33.3,28.2-35.0
Symptoms of Anxiety Disorder,Arizona,31.7,28.4,35.2,28.4 - 35.2,31.5-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,38,34.5,41.5,34.5 - 41.5,36.1-38.7
Symptoms of Depressive Disorder,Arizona,25.8,22.5,29.3,22.5 - 29.3,25.6-33.2
Symptoms of Anxiety Disorder,Arizona,30.4,26.9,34,26.9 - 34.0,29.2-31.4
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,35.1,31.8,38.6,31.8 - 38.6,34.8-36.2
Symptoms of Depressive Disorder,Arizona,25.6,20.9,30.7,20.9 - 30.7,23.8-29.1
Symptoms of Anxiety Disorder,Arizona,30.3,25.9,35,25.9 - 35.0,29.0-35.6
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,34.4,29.5,39.5,29.5 - 39.5,33.6-42.1
Symptoms of Depressive Disorder,Arizona,20.4,17.4,23.8,17.4 - 23.8,19.2-20.7
Symptoms of Anxiety Disorder,Arizona,25.8,22,29.8,22.0 - 29.8,25.8-27.8
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,29.9,25.8,34.3,25.8 - 34.3,29.9-31.8
Symptoms of Depressive Disorder,Arizona,19.3,16.1,22.8,16.1 - 22.8,19.0-20.6
Symptoms of Anxiety Disorder,Arizona,23,19.8,26.6,19.8 - 26.6,17.2-23.4
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,27.9,24.2,31.9,24.2 - 31.9,27.2-28.9
Symptoms of Depressive Disorder,Arizona,21.9,18,26.2,18.0 - 26.2,20.3-22.3
Symptoms of Anxiety Disorder,Arizona,27.1,23.4,31.1,23.4 - 31.1,27.0-31.8
